symbol,company,price,sector,avg_volume,market_cap,pe_ratio,week52high,week52low
AAAP,Advanced Accelerator Applications S.A.,81.63,Healthcare,177487,3605317762,-62.31,82.74,35.11
AAPL,Apple Inc.,172.43,Technology,41966219,874912061590,18.74,180.1,135.28
AAXN,Axon Enterprise Inc.,28.74,Industrials,576166,1520712981,119.75,29,20.57
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,78.93,,1724044,5035734000,0,83.52,59.77
ACER,Acer Therapeutics Inc.,17.37,Healthcare,36319,130230411,-5.33,22.6307,5.69554
ABR-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,25.66,Real Estate,2037,0,0,26.6799,25.13
ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,25,Real Estate,2239,31550148,0,25.95,24.5659
ABR-A,Arbor Realty Trust Preferred Series A,25.14,Real Estate,7057,38989350,0,25.98,24.81
ACET,Aceto Corporation,7.27,Basic Materials,614090,223643739,6.16,17.03,7.06
ACMR,ACM Research Inc.,6.5,Technology,47726,99437440,0,8.4839,4.7437
ADI,Analog Devices Inc.,86.09,Technology,3527113,32087391021,18.4,98.38,74.65
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,23.81,Financial Services,97947,0,0,25.99,23.67
ADMA,ADMA Biologics Inc,3.89,Healthcare,117717,176281804,-4.74,5.44,2.01
ADMP,Adamis Pharmaceuticals Corporation,3.2,Healthcare,622770,106838342,-3.44,6.45,2.805
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,22.945,Financial Services,82412,0,0,25.25,21.66
ADMS,Adamas Pharmaceuticals Inc.,33.77,Healthcare,897036,769242778,-10.02,44,13.5
ACLS,Axcelis Technologies Inc.,24.6,Technology,567457,788380800,16.73,37.05,14.6
ACTA,Actua Corporation,0.7114,Technology,847619,25359821,-1.21,16.05,0.68
ACTG,Acacia Research Corporation,3.55,Industrials,227640,179646976,1.2,6.3,2.9
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),6.9,Consumer Defensive,18454954,108405414675,30,7.04,5.3
A,Agilent Technologies Inc.,71.97,Healthcare,2423259,23244944513,30.37,75,50.86
ABB,ABB Ltd,25.42,Technology,2286255,54257758731,20.34,28.67,22.04
AAON,AAON Inc.,35.05,Basic Materials,182209,1839016509,37.29,38.25,29.95
AB,AllianceBernstein Holding L.P. Units,27.35,Financial Services,326580,2635500399,11.89,28,20.4
AAOI,Applied Optoelectronics Inc.,31.99,Technology,1276519,620036130,7.6,103.41,28.56
ABEO,Abeona Therapeutics Inc.,12.5,Healthcare,1244109,584690713,-18.94,22.75,4.55
ACGL,Arch Capital Group Ltd.,89.86,Financial Services,545001,11760339797,28.26,102.6,85.35
AAWW,Atlas Air Worldwide Holdings,55.35,Industrials,283439,1399419585,11.73,68.7,45.45
ADAP,Adaptimmune Therapeutics plc,8.62,Healthcare,522598,807578104,-11.34,9.705,3.88
ABMD,ABIOMED Inc.,267.74,Healthcare,435154,11854944866,230.81,268.72,114.2836
ACOR,Acorda Therapeutics Inc.,25.8,Healthcare,815703,1206076883,-37.39,33,13.6
ACC,American Campus Communities Inc,36.77,Real Estate,864551,5016402626,16.49,51.7,34.52
ADOM,ADOMANI Inc.,1.4,Consumer Cyclical,409102,100432636,0,18.31,1.305
ACFC,Atlantic Coast Financial Corporation,10.63,Financial Services,73840,165335927,31.26,10.9,6.9
ACNB,ACNB Corporation,27.4,Financial Services,5294,192338273,0,32.5,24.45
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,45.73,,19442,175329000,0,48.92,35.256
ABCD,Cambium Learning Group Inc.,7.13,Consumer Defensive,115002,332756223,0,7.84,4.55
ACXM,Acxiom Corporation,28.77,Technology,557890,2275725326,82.2,29.75,21.795
ACAD,ACADIA Pharmaceuticals Inc.,30.92,Healthcare,1825998,3840438296,-12.62,41.2,25.06
ABCB,Ameris Bancorp,54.65,Financial Services,208118,2042445653,21.95,56.85,41.05
ADNT,Adient plc,61.89,Consumer Cyclical,1709750,5777552619,6.53,86.42,59.1
ACIW,ACI Worldwide Inc.,23.34,Industrials,588173,2767639088,32.42,25,19.55
ACIU,AC Immune SA,11.72,Healthcare,62124,667128676,-21.31,13.91,6.03
ACH,Aluminum Corporation of China Limited American Depositary Shares,15.86,Basic Materials,103549,9454969594,0,23.54,11.011
ACN,Accenture plc Class A (Ireland),162.66,Technology,2248673,103546594033,27.52,163.6,114.82
ACM,AECOM,35.36,Industrials,942171,5628220119,12.03,39.9,30.15
ACP,Aberdeen Income Credit Strategies Fund,14.01,Financial Services,72549,183167749,0,14.93,13.27
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,21.74,Financial Services,49078,223377848,0,23.19,19.2448
ACT,AdvisorShares Vice ETF,26.14,,14479,15608880,0,29.5,24.4479
ABTX,Allegiance Bancshares Inc.,39.3,Financial Services,31743,518034679,24.87,41.45,31.75
ACIA,Acacia Communications Inc.,42.4,Technology,387835,1669598792,14.62,69.57,34.2
AAME,Atlantic American Corporation,3.9,Financial Services,2989,71537939,0,4.1,3
ABEOW,,8.3,,0,0,0,8.3,0
ADP,Automatic Data Processing Inc.,116.18,Industrials,2083424,51499068750,31.49,125.24,95.5
ACWI,iShares MSCI ACWI Index Fund,73.87,,3493145,8864400000,0,77.54,62.21
ACHV,Achieve Life Sciences Inc.,1.42,Healthcare,532071,16965700,-7.47,7.15,1.15
ABDC,Alcentra Capital Corp.,7.52,Financial Services,76039,107124054,5.05,14.73,7
ADC,Agree Realty Corporation,46.56,Real Estate,189741,1443015503,17.57,53.65,43.74
ACWX,iShares MSCI ACWI ex US Index Fund,51,,719514,3253800000,0,53.74,42.14
ADM,Archer-Daniels-Midland Company,43.13,Consumer Defensive,4006871,24120465957,17.68,47.44,38.59
ACHC,Acadia Healthcare Company Inc.,36.32,Healthcare,1296567,3190842716,15.86,54.34,26.92
ABLX,Ablynx NV,54.35,Healthcare,697179,4079836557,0,54.87,17.75
ABIO,ARCA biopharma Inc.,1.65,Healthcare,398263,19389112,-3.59,2.76,1.05
ABAC,Renmin Tianli Group Inc.,2.15,Consumer Defensive,11732,17165052,0,4.76,1.6
ACCO,Acco Brands Corporation,13.65,Industrials,614135,1454421478,11.57,14.75,10.35
ADBE,Adobe Systems Incorporated,201.56,Technology,2802764,99082568305,56.94,204.45,117.83
AAC,AAC Holdings Inc.,8.32,Healthcare,105188,199667245,12.8,13.0551,5.99
AAL,American Airlines Group Inc.,51.58,Industrials,5681144,24680982185,10.53,59.08,39.21
AAN,Aaron's Inc.,43.4,Industrials,806539,3149898263,16.95,48.2199,26.435
AAT,American Assets Trust Inc.,32.53,Real Estate,214767,1535565248,17.03,44.83,30.93
AAV,Advantage Oil & Gas Ltd,3,Energy,382530,557889558,30,7.35,2.75
AAP,Advance Auto Parts Inc W/I,107.57,Consumer Cyclical,1302091,7949212486,19.17,169.55,78.81
ABIL,Ability Inc.,0.3601,Technology,220163,9274787,0,2.9545,0.352
ABAX,ABAXIS Inc.,69.06,Healthcare,292421,1567523880,54.38,78.53,43.66
ADS,Alliance Data Systems Corporation,244.68,Financial Services,701636,13518243842,13.24,278.33,209
ADES,Advanced Emissions Solutions Inc.,9.1,Industrials,153285,191914177,5.8,12.2,7
ACST,Acasti Pharma Inc.,1.04,Healthcare,500915,26628794,-1.93,3.3565,0.84
ACSF,American Capital Senior Floating Ltd.,11.025,Financial Services,40043,110451105,0,14.1,10.35
AA,Alcoa Corporation,47.36,Basic Materials,4746576,8771105768,15.73,57.5,29.55
AC,Associated Capital Group Inc.,34.2,Financial Services,13967,810595233,0,39.35,32.2
ABC,AmerisourceBergen Corporation,99.4,Healthcare,2339109,21835107645,16.88,106.27,71.9
ADRU,BLDRS Europe 100 ADR Index Fund,22.89,,4223,17211600,0,24.65,19.87
ACERW,,0.0064,,0,0,0,0.004,0
ABG,Asbury Automotive Group Inc,68.8,Consumer Cyclical,227239,1432257898,10.67,76.4,49.1
AABA,Altaba Inc.,73.51,Financial Services,7348281,64202021779,0,80.56,44.95
ACBI,Atlantic Capital Bancshares Inc.,17.45,Financial Services,89971,448956846,32.31,19.85,15.2
ABM,ABM Industries Incorporated,36.62,Industrials,496528,2401682235,20.93,45.12,33.7
ADRA,BLDRS Asia 50 ADR Index Fund,35.96,,1260,22622665,0,37.7023,28.865
ABBV,AbbVie Inc.,118.6,Healthcare,7676700,189336567164,21.22,125.86,61.3
ABR,Arbor Realty Trust,8.43,Real Estate,454784,520153154,8.35,8.99,7.3299
ABT,Abbott Laboratories,60.17,Healthcare,7748508,104731943337,24.07,64.6,42.31
