symbol,company,price,sector,avg_volume,market_cap,pe_ratio,week52high,week52low
AAAP,Advanced Accelerator Applications S.A.,81.63,Healthcare,177487,3605317762,-62.31,82.74,35.11
AAPL,Apple Inc.,171.85,Technology,41966219,871969134050,18.68,180.1,135.28
AAXN,Axon Enterprise Inc.,28.07,Industrials,576166,1485261426,116.96,29,20.57
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,77.86,,1724044,4967468000,0,83.52,59.77
ACER,Acer Therapeutics Inc.,18.04,Healthcare,36319,135253691,-5.53,22.6307,5.69554
ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,25,Real Estate,2239,31613400,0,25.95,24.5659
ABR-A,Arbor Realty Trust Preferred Series A,25.21,Real Estate,7057,39113315,0,25.98,24.81
ACET,Aceto Corporation,7.11,Basic Materials,614090,218721731,6.03,17.03,7.06
ACMR,ACM Research Inc.,6.56,Technology,47726,100665063,0,8.4839,4.7437
ADI,Analog Devices Inc.,88.41,Technology,3527113,32952099433,18.89,98.38,74.65
ADMA,ADMA Biologics Inc,3.86,Healthcare,117717,174922304,-4.71,5.44,2.01
ADMP,Adamis Pharmaceuticals Corporation,3.125,Healthcare,622770,104334319,-3.36,6.45,2.805
ADMS,Adamas Pharmaceuticals Inc.,26.39,Healthcare,897036,601134643,-7.83,44,13.5
ACLS,Axcelis Technologies Inc.,25.05,Technology,567457,802802400,17.04,37.05,14.6
ACTA,Actua Corporation,0.7114,Technology,847619,25359821,-1.21,16.05,0.68
ACTG,Acacia Research Corporation,3.55,Industrials,227640,179646976,1.2,6.3,2.9
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),6.9,Consumer Defensive,18454954,108405414675,30,7.04,5.3
A,Agilent Technologies Inc.,71.08,Healthcare,2423259,22957491399,29.99,75,50.86
ABB,ABB Ltd,25.25,Technology,2286255,53894901966,20.2,28.67,22.04
AAON,AAON Inc.,34.35,Basic Materials,182209,1802288647,36.54,38.25,29.95
AB,AllianceBernstein Holding L.P. Units,27.75,Financial Services,326580,2674045195,12.07,28,20.4
AAOI,Applied Optoelectronics Inc.,33.33,Technology,1276519,646008259,7.92,103.41,28.56
ABEO,Abeona Therapeutics Inc.,11.6,Healthcare,1244109,542592981,-17.58,22.75,4.55
ACGL,Arch Capital Group Ltd.,88.71,Financial Services,545001,11609834669,27.9,102.6,85.35
AAWW,Atlas Air Worldwide Holdings,54.75,Industrials,283439,1384249725,11.6,68.7,45.45
ADAP,Adaptimmune Therapeutics plc,8.22,Healthcare,522598,770103482,-10.82,9.705,3.88
ABMD,ABIOMED Inc.,270.48,Healthcare,435154,11976266106,233.17,270.48,114.2836
ACOR,Acorda Therapeutics Inc.,25.3,Healthcare,815703,1182703300,-36.67,33,13.6
ACC,American Campus Communities Inc,35.57,Real Estate,864551,4852690818,15.95,51.7,34.52
ADOM,ADOMANI Inc.,1.36,Consumer Cyclical,409102,97563132,0,18.31,1.305
ACFC,Atlantic Coast Financial Corporation,10.49,Financial Services,73840,163158407,30.85,10.9,6.9
ACNB,ACNB Corporation,27.55,Financial Services,5294,193391220,0,32.5,24.45
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,45.6,,19442,175560000,0,48.92,35.256
ABCD,Cambium Learning Group Inc.,7.28,Consumer Defensive,115002,339756705,0,7.84,4.55
ACXM,Acxiom Corporation,28.25,Technology,557890,2234592995,80.71,29.75,21.795
ACAD,ACADIA Pharmaceuticals Inc.,31.05,Healthcare,1825998,3856585029,-12.67,41.2,25.06
